place_iri,place_label,target_authority,target_iri,target_browse_url
urn:voices:place:sorokino-russia-ussr-generic,Sorokino Russia Ussr Generic,wikidata,https://www.wikidata.org/entity/Q25610628,https://www.wikidata.org/wiki/Q25610628
urn:voices:place:sosnowiec-kielce-poland,Sosnowiec Kielce Poland,wikidata,https://www.wikidata.org/entity/Q105060,https://www.wikidata.org/wiki/Q105060
urn:voices:place:stuttgart-germany,Stuttgart Germany,wikidata,https://www.wikidata.org/entity/Q2359473,https://www.wikidata.org/wiki/Q2359473
urn:voices:place:troki-poland,Troki Poland,wikidata,https://www.wikidata.org/entity/Q191015,https://www.wikidata.org/wiki/Q191015
urn:voices:place:tuscany-italy-region,Tuscany Italy Region,wikidata,https://www.wikidata.org/entity/Q1273,https://www.wikidata.org/wiki/Q1273
urn:voices:place:u-bardowick-germany-dp-camp,U Bardowick Germany Dp Camp,wikidata,https://www.wikidata.org/entity/Q508028,https://www.wikidata.org/wiki/Q508028
urn:voices:place:u-stamsried-germany-concentration-camp,U Stamsried Germany Concentration Camp,wikidata,https://www.wikidata.org/entity/Q430752,https://www.wikidata.org/wiki/Q430752
urn:voices:place:u-wolfsburg-germany-dp-camp,U Wolfsburg Germany Dp Camp,wikidata,https://www.wikidata.org/entity/Q101859,https://www.wikidata.org/wiki/Q101859
urn:voices:place:ukrainians,Ukrainians,wikidata,https://www.wikidata.org/entity/Q44806,https://www.wikidata.org/wiki/Q44806
urn:voices:place:waldorf-rhineland-prussia-germany-generic,Waldorf Rhineland Prussia Germany Generic,wikidata,https://www.wikidata.org/entity/Q106441261,https://www.wikidata.org/wiki/Q106441261
urn:voices:place:woburn-house,Woburn House,wikidata,https://www.wikidata.org/entity/Q110996423,https://www.wikidata.org/wiki/Q110996423
urn:voices:place:world-jewish-congress,World Jewish Congress,wikidata,https://www.wikidata.org/entity/Q541010,https://www.wikidata.org/wiki/Q541010
urn:voices:place:zdzieciol-poland,Zdzieciol Poland,wikidata,https://www.wikidata.org/entity/Q1025883,https://www.wikidata.org/wiki/Q1025883
